"","Sum","corrcoeff","R Procrustes"
"0.01",76543,0.963588784796215,0.955112463316372
"0.05",76543,0.963588784796215,0.955112463316372
"0.1",76543,0.963588784796215,0.955112463316372
"0.15",76543,0.963588784796215,0.955112463316372
"0.2",69225,0.906155763740903,0.948202172612691
"0.25",64203,0.869463096243282,0.939982700473702
"0.3",59403,0.833400345784247,0.921436685464117
"0.35",59403,0.833400345784247,0.921436685464117
"0.4",51497,0.846618551726911,0.897934867734588
"0.45",48332,0.857672255505073,0.873728029645068
"0.5",45189,0.835156071998177,0.925727251718519
"0.55",39215,0.874224330880678,0.922928008971669
"0.6",34714,0.885853408465833,0.894248104198089
"0.65",30896,0.892689431952508,0.899467324842328
"0.7",26290,0.878686953642213,0.915777879347707
"0.75",22493,0.875472026981902,0.923455876864178
"0.8",17540,0.915275225014372,0.908426291591038
"0.85",13311,0.911250844159255,0.910523189051325
"0.9",9102,0.897311273503729,0.917461025682925
"0.95",4459,0.85874782699037,0.921577070833598
"0.99",891,0.783143051212364,0.864518652239103
