"","Group","Area","Domain","count","mean_obs","mean_shan","sd_obs","sd_shan"
"1","Global","Global","16S",75,337.573333333333,4.14928941734701,195.296114278427,0.721637297539281
"2","Global","Global","18S",63,132.079365079365,2.99248528461222,104.769378311835,0.808521626233016
"3","Polar","Antarctic","16S",57,328.719298245614,4.14152000623579,188.859713089029,0.696118971980271
"4","Polar","Antarctic","18S",47,125.382978723404,2.78697321901433,115.828687816832,0.790498213319868
"5","Polar","Arctic","16S",18,365.611111111111,4.17389255253253,217.793247583139,0.818368589254948
"6","Polar","Arctic","18S",16,151.75,3.59617697730604,60.6096801949436,0.514384596586195
"7","Regional","Greenland","16S",10,337.5,4.07230698578897,266.188007910867,1.00251225115513
"8","Regional","Greenland","18S",9,172.666666666667,3.4971006265988,67.8822509939086,0.516302521544772
"9","Regional","McMurdo_Dry_Valleys","16S",55,336.254545454545,4.16475444262591,187.976182315327,0.697592336128319
"10","Regional","McMurdo_Dry_Valleys","18S",47,125.382978723404,2.78697321901433,115.828687816832,0.790498213319868
"11","Regional","Queen_Maud_Land","16S",2,121.5,3.50257300550763,17.6776695296637,0.109907093180119
"12","Regional","Svalbard","16S",5,371.4,4.27903411674763,126.827836061332,0.44164396840295
"13","Regional","Svalbard","18S",4,146.5,4.0932206098583,31.6491179445284,0.206713159217844
"14","Regional","Sweden","16S",3,449.666666666667,4.33727516798593,193.732633630303,0.812814541504401
"15","Regional","Sweden","18S",3,96,3.23068118602475,30.5122926047847,0.339719911888145
"16","Glacier","Canada","16S",9,554.666666666667,4.82214248250235,151.846139233107,0.419154389029229
"17","Glacier","Canada","18S",8,208.25,3.25121815438532,248.759063007906,0.963434502608294
"18","Glacier","Commonwealth","16S",8,311.875,4.16331082111428,168.373256699004,0.703572946059306
"19","Glacier","Commonwealth","18S",9,153.111111111111,2.93341845313226,45.4324895984263,0.312987467406466
"20","Glacier","Core","16S",3,208,3.50245925393885,262.409984566137,1.17202385128274
"21","Glacier","Core","18S",2,69.5,2.78290431150414,3.53553390593274,0.290771219998966
"22","Glacier","Diamond","16S",4,430.5,4.57693666779509,107.915090078574,0.490925123422747
"23","Glacier","Diamond","18S",1,115,3.23609598630919,NA,NA
"24","Glacier","Duboisbreen","16S",2,121.5,3.50257300550763,17.6776695296637,0.109907093180119
"25","Glacier","Kangerlussuaq","16S",3,406.666666666667,4.36320624758225,263.279952395418,1.15610838636067
"26","Glacier","Kangerlussuaq","18S",3,184.666666666667,3.37603979593003,59.4334361562019,0.244029027831624
"27","Glacier","Lower Koettlitz","16S",5,353,4.31025090358229,51.2249938994628,0.440206321873619
"28","Glacier","Lower Koettlitz","18S",4,142.25,3.78235335721008,15.1959424408842,0.480779096349908
"29","Glacier","Lower Wright","16S",6,203.333333333333,3.85787835850085,73.1619208787376,0.489424940078027
"30","Glacier","Lower Wright","18S",4,30.5,2.02434952021419,6.02771377334171,0.233911819441285
"31","Glacier","Margin","16S",4,382.75,4.2815183383316,310.107911325504,0.860561888403209
"32","Glacier","Margin","18S",4,215.25,3.9449944071477,16.4797855973108,0.144155972272587
"33","Glacier","Midre Lovenbreen","16S",5,371.4,4.27903411674763,126.827836061332,0.44164396840295
"34","Glacier","Midre Lovenbreen","18S",4,146.5,4.0932206098583,31.6491179445284,0.206713159217844
"35","Glacier","Miers","16S",2,110.5,3.22841346852084,54.4472221513642,0.860465005330376
"36","Glacier","Miers","18S",4,168.75,3.42995831085739,45.1174393481427,0.328639477995305
"37","Glacier","Storglaciären","16S",3,449.666666666667,4.33727516798593,193.732633630303,0.812814541504401
"38","Glacier","Storglaciären","18S",3,96,3.23068118602475,30.5122926047847,0.339719911888145
"39","Glacier","Taylor","16S",8,333.25,4.08330719160863,222.964923570631,0.869771291030941
"40","Glacier","Taylor","18S",8,65.625,2.28034997154058,29.349799220535,0.548742632541028
"41","Glacier","Upper Koettlitz","16S",6,271.666666666667,3.86715699934246,187.062199994191,0.662664058185877
"42","Glacier","Upper Koettlitz","18S",8,93,2.20750404140796,38.2510504057452,0.685075074174593
"43","Glacier","Upper Wright","16S",7,254.714285714286,3.86046108956102,171.498021646232,0.6129583254918
"44","Glacier","Upper Wright","18S",1,99,2.49165713737634,NA,NA
